Date,Confirmed,Recovered,Deaths,Region
2020-03-29T03:03:36.600Z,5,0,0,Атырауская область
2020-03-29T03:03:36.600Z,1,0,0,Актюбинская область
2020-03-29T03:03:36.600Z,3,0,0,Жамбылская область
2020-03-29T03:03:36.600Z,1,0,0,Павлодарская область
2020-03-29T03:03:36.600Z,1,0,0,Северо-Казахстанская область
2020-03-29T03:03:36.600Z,1,0,0,Мангистауская область
2020-03-29T03:03:36.600Z,2,0,0,Восточно-Казахстанская область
2020-03-29T03:03:36.600Z,0,0,0,Западно-Казахстанская область
2020-03-29T03:03:36.600Z,7,0,0,Карагандинская область
2020-03-29T03:03:36.600Z,0,0,0,Костанайская область
2020-03-29T03:03:36.600Z,1,0,0,Кызылординская область
2020-03-29T03:03:36.600Z,0,0,0,Туркестанская область
2020-03-29T04:03:39.629Z,229,18,1,Казахстан
2020-03-29T04:03:39.629Z,135,13,1,Нур-Султан
2020-03-29T04:03:39.629Z,60,5,0,Алматы
